1 :  49   [[83, 41, 23], [83, 36, 29], [84, 45, 20], [98, 49], [79, 70], [90, 57], [96, 46], [93, 57], [92, 57], [98, 43], [84, 62], [93, 55], [84, 55], [86, 60], [82, 60], [91, 57], [87, 58], [67, 74], [94, 43], [80, 70], [96, 50], [79, 45, 26], [91, 59], [69, 73], [85, 64], [74, 69], [81, 58], [76, 66], [98, 46], [80, 69], [33, 85, 32], [84, 62], [82, 58], [73, 71], [78, 49], [78, 42, 25], [80, 70], [84, 42, 24], [78, 72], [78, 55], [38, 73, 38], [73, 44, 33], [43, 39, 42, 25], [49, 41, 47], [43, 41, 33, 32], [36, 42, 44, 27], [42, 28, 39, 38], [36, 37, 27, 35], [23, 30, 30, 30]]
12 :  49   [[96, 49], [70, 78], [92, 55], [82, 64], [98, 46], [79, 59], [57, 93], [98, 39], [94, 30, 26], [90, 58], [85, 60], [91, 57], [96, 43], [93, 57], [80, 43, 25], [83, 42, 25], [86, 58], [73, 49, 28], [87, 55], [91, 46], [84, 62], [85, 58], [98, 42], [76, 43, 30], [84, 29, 35], [84, 66], [70, 80], [70, 80], [72, 73], [83, 67], [73, 73], [84, 62], [71, 60], [78, 41, 30], [78, 69], [82, 49], [84, 44, 20], [74, 74], [81, 69], [78, 57], [79, 69], [50, 55, 45], [42, 45, 38, 23], [41, 47, 37, 24], [33, 42, 38, 27], [33, 43, 44, 27], [42, 36, 41, 23], [39, 36, 32, 38], [36, 33, 32]]
13 :  49   [[92, 58], [90, 42], [91, 57], [98, 46], [84, 58], [98, 47], [85, 64], [80, 70], [79, 46, 25], [98, 50], [79, 71], [76, 73], [85, 60], [96, 42], [91, 49], [78, 70], [94, 55], [84, 66], [57, 93], [96, 49], [80, 69], [93, 55], [41, 73, 35], [84, 33, 33], [87, 58], [82, 67], [86, 44], [78, 55], [82, 43, 25], [74, 74], [81, 69], [32, 84, 33], [83, 57], [70, 78], [84, 27, 39], [73, 69], [83, 62], [78, 72], [80, 44, 24], [62, 73], [57, 36, 42], [60, 45, 42], [41, 38, 26, 45], [59, 49, 41], [43, 36, 42, 27], [43, 39, 37, 30], [38, 43, 38, 30], [36, 32, 30, 29, 23], [23, 28, 20]]
14 :  49   [[69, 80], [98, 46], [79, 67], [91, 58], [87, 62], [98, 49], [96, 49], [78, 70], [92, 58], [91, 55], [80, 50], [96, 46], [83, 66], [84, 62], [78, 69], [76, 43, 27], [86, 57], [84, 36, 28], [80, 70], [79, 70], [94, 44], [93, 57], [82, 60], [93, 57], [73, 74], [73, 72], [98, 42], [78, 71], [90, 55], [82, 43, 23], [85, 64], [60, 84], [85, 57], [78, 45, 27], [84, 59], [81, 43, 25], [83, 58], [84, 49], [42, 74, 33], [73, 42, 33], [73, 45, 30], [69, 32, 38], [41, 55, 47], [41, 44, 43, 20], [39, 42, 38, 30], [42, 36, 41, 30], [38, 39, 36, 37], [26, 33, 35, 32, 24], [29, 25, 23]]
15 :  49   [[98, 49], [93, 57], [80, 70], [87, 59], [81, 41, 27], [70, 37, 43], [96, 43], [98, 49], [84, 62], [94, 55], [83, 60], [55, 80], [84, 66], [76, 73], [98, 50], [64, 84], [78, 42, 30], [86, 58], [90, 55], [96, 47], [85, 57], [91, 57], [84, 62], [80, 70], [92, 58], [82, 67], [69, 73], [69, 79], [91, 58], [83, 49], [74, 73], [84, 45, 20], [82, 38, 29], [85, 57], [93, 46], [79, 60], [78, 43, 25], [78, 72], [41, 78, 30], [74, 69], [71, 44, 35], [36, 73, 41], [45, 39, 44], [42, 33, 38, 32], [38, 33, 42, 33], [39, 43, 42, 25], [36, 46, 42, 24], [36, 32, 30, 27, 23], [26, 28, 23]]
16 :  49   [[96, 42], [96, 46], [93, 57], [78, 69], [74, 66], [91, 49], [92, 58], [72, 76], [73, 70], [64, 85], [82, 45, 23], [94, 55], [98, 43], [98, 43], [80, 70], [84, 49], [58, 84], [90, 58], [60, 87], [84, 62], [84, 62], [93, 57], [98, 47], [78, 69], [91, 57], [81, 69], [80, 70], [79, 60], [85, 59], [80, 67], [82, 44, 24], [84, 55], [83, 42, 25], [73, 46, 30], [78, 71], [86, 57], [79, 39, 32], [83, 55], [74, 73], [78, 42, 29], [42, 73, 32], [41, 30, 42, 33], [43, 45, 50], [41, 39, 49, 20], [38, 38, 41, 33], [27, 44, 36, 37], [36, 43, 38, 33], [36, 35, 23, 27, 25], [26, 30, 28]]
17 :  49   [[94, 47], [93, 30, 27], [98, 46], [92, 58], [96, 44], [98, 49], [83, 66], [98, 43], [91, 58], [93, 42], [90, 60], [82, 58], [80, 70], [70, 79], [72, 78], [84, 62], [78, 69], [80, 45, 25], [91, 59], [86, 29, 32], [82, 64], [85, 55], [81, 69], [96, 45], [73, 73], [74, 73], [84, 62], [85, 38, 25], [84, 42, 24], [87, 57], [84, 60], [79, 70], [78, 71], [84, 57], [69, 80], [83, 67], [74, 76], [57, 43, 50], [57, 78], [73, 42, 32], [55, 55, 38], [46, 33, 30, 41], [42, 42, 23, 41], [41, 39, 49, 20], [43, 36, 38, 30], [43, 37, 49], [39, 33, 44, 33], [36, 36, 35, 28], [26, 27, 23]]
18 :  49   [[84, 64], [96, 50], [98, 42], [78, 43, 29], [92, 58], [84, 49], [91, 57], [94, 46], [78, 72], [80, 69], [82, 60], [86, 57], [91, 58], [73, 73], [93, 55], [98, 47], [96, 45], [66, 83], [82, 67], [84, 58], [98, 43], [85, 42, 23], [81, 46, 23], [90, 49], [93, 57], [78, 70], [80, 70], [74, 76], [70, 78], [80, 69], [83, 60], [79, 62], [85, 55], [87, 57], [79, 71], [74, 69], [37, 73, 39], [73, 62], [84, 59], [84, 33, 32], [55, 49, 42], [44, 41, 38, 26], [38, 38, 42, 30], [42, 45, 39, 24], [44, 43, 33, 27], [36, 43, 41, 30], [33, 35, 41, 30], [25, 36, 36, 32, 20], [28, 27, 25]]
19 :  49   [[94, 41], [78, 70], [91, 58], [87, 60], [80, 69], [74, 74], [78, 64], [98, 47], [79, 70], [85, 55], [57, 70, 23], [96, 43], [98, 42], [96, 38], [83, 32, 28], [86, 62], [80, 67], [98, 45], [57, 92], [49, 93], [76, 73], [90, 59], [83, 62], [85, 60], [71, 79], [82, 66], [93, 57], [84, 57], [91, 55], [84, 36, 30], [82, 58], [80, 39, 25], [44, 84, 20], [50, 72, 27], [84, 49], [49, 73, 27], [78, 69], [84, 42, 24], [69, 81], [78, 46, 26], [33, 73, 39], [73, 33, 38], [44, 58, 36], [45, 55, 43], [38, 42, 43, 25], [43, 36, 30, 41], [46, 41, 32, 29], [42, 42, 35, 30], [37, 23, 33]]
20 :  49   [[86, 60], [84, 58], [96, 46], [84, 66], [84, 57], [78, 42, 30], [98, 49], [96, 42], [93, 55], [85, 60], [98, 45], [73, 74], [79, 70], [90, 55], [92, 57], [80, 59], [98, 43], [94, 50], [91, 58], [82, 36, 28], [87, 62], [84, 64], [76, 72], [73, 73], [82, 67], [70, 38, 41], [85, 55], [83, 43, 23], [78, 71], [79, 69], [73, 74], [93, 57], [80, 69], [62, 84], [49, 91], [83, 58], [78, 70], [81, 43, 26], [78, 45, 20], [69, 80], [38, 57, 30, 25], [47, 44, 49], [41, 36, 42, 30], [39, 35, 44, 32], [41, 38, 43, 25], [42, 36, 37, 33], [42, 46, 33, 27], [33, 39, 32, 29], [27, 24, 23]]
21 :  49   [[98, 49], [98, 46], [90, 57], [64, 84], [94, 55], [78, 70], [79, 70], [81, 69], [93, 43], [67, 57, 26], [91, 55], [96, 41], [86, 58], [83, 47], [85, 62], [96, 50], [91, 58], [98, 43], [92, 58], [84, 42, 23], [87, 62], [74, 74], [80, 69], [93, 57], [79, 69], [82, 60], [78, 70], [72, 78], [83, 38, 27], [84, 60], [85, 59], [73, 73], [84, 42, 24], [80, 55], [80, 66], [71, 46, 33], [44, 41, 39, 25], [82, 45, 23], [73, 73], [76, 49, 25], [78, 45, 27], [84, 57], [30, 44, 36, 37], [30, 43, 49, 28], [42, 32, 30, 43], [42, 41, 38, 29], [42, 38, 39, 20], [36, 33, 32, 35], [36, 33]]
22 :  49   [[84, 66], [93, 55], [82, 39, 27], [91, 55], [92, 57], [98, 45], [98, 49], [94, 49], [84, 64], [96, 42], [98, 49], [85, 62], [85, 58], [78, 71], [93, 28, 29], [80, 59], [30, 83, 37], [84, 57], [78, 70], [96, 50], [72, 70], [84, 60], [79, 58], [62, 81], [87, 57], [79, 69], [90, 58], [47, 70, 33], [86, 60], [83, 57], [78, 69], [91, 39], [80, 43, 24], [74, 76], [78, 67], [84, 42, 23], [36, 73, 41], [82, 55], [74, 73], [44, 73, 33], [69, 80], [73, 46, 30], [46, 33, 45, 25], [43, 38, 36, 32], [42, 42, 44, 20], [35, 38, 43, 32], [41, 30, 42, 36], [43, 41, 38, 27], [25, 26, 23]]
23 :  49   [[87, 59], [80, 69], [94, 55], [93, 57], [91, 55], [84, 30, 33], [80, 60], [98, 47], [91, 57], [86, 62], [98, 49], [90, 58], [98, 49], [85, 43, 20], [96, 43], [92, 58], [78, 72], [96, 27, 26], [70, 79], [84, 42, 24], [84, 60], [71, 78], [80, 70], [81, 67], [70, 74], [78, 69], [84, 55], [73, 69], [93, 57], [85, 62], [83, 64], [82, 66], [84, 57], [76, 37, 30], [79, 49], [73, 73], [83, 58], [82, 41, 25], [78, 45, 27], [74, 73], [46, 43, 41], [44, 36, 46, 23], [43, 38, 42, 25], [42, 45, 50], [32, 36, 44, 38], [39, 39, 42, 28], [42, 41, 38, 29], [36, 32, 33, 33], [35, 30, 23]]
24 :  49   [[91, 58], [96, 49], [92, 57], [90, 58], [60, 81], [84, 55], [71, 79], [93, 57], [98, 49], [98, 43], [78, 70], [80, 37, 33], [96, 50], [86, 60], [87, 62], [93, 57], [98, 49], [91, 42], [79, 69], [94, 46], [82, 67], [84, 62], [85, 35, 30], [59, 83], [83, 66], [84, 43, 23], [85, 38, 27], [80, 42, 28], [70, 73], [84, 39, 24], [82, 64], [76, 73], [78, 70], [58, 45, 47], [78, 72], [69, 73], [73, 74], [57, 69, 20], [44, 80, 25], [84, 30, 32], [74, 38, 36], [33, 41, 55], [78, 46, 26], [42, 41, 42, 23], [45, 38, 30, 36], [55, 44, 41], [43, 39, 42, 25], [43, 33, 36, 32], [29, 27]]
25 :  49   [[93, 57], [86, 59], [98, 49], [96, 50], [94, 55], [92, 58], [85, 62], [90, 55], [84, 38, 28], [82, 67], [96, 44], [84, 66], [80, 64], [80, 69], [78, 71], [74, 73], [79, 69], [83, 58], [81, 69], [91, 57], [98, 49], [85, 62], [93, 57], [91, 57], [84, 60], [84, 33, 30], [78, 45, 27], [79, 70], [74, 73], [45, 80, 25], [60, 87], [82, 55], [78, 72], [98, 44], [73, 73], [76, 58], [84, 47], [78, 70], [83, 49], [46, 70, 33], [46, 42, 38, 23], [41, 42, 42, 25], [36, 37, 43, 33], [39, 43, 41, 26], [42, 42, 43, 23], [41, 43, 38, 27], [35, 30, 24, 32, 29], [39, 36, 32, 30], [36, 20]]
26 :  49   [[91, 57], [98, 49], [98, 45], [81, 62], [82, 64], [93, 57], [84, 44, 20], [83, 47], [85, 55], [91, 50], [83, 42, 25], [90, 60], [96, 29, 25], [94, 55], [98, 43], [84, 59], [93, 57], [80, 69], [80, 70], [96, 39], [86, 58], [92, 58], [87, 60], [73, 74], [84, 62], [73, 73], [78, 70], [76, 74], [85, 57], [84, 66], [78, 55], [71, 69], [79, 70], [84, 42, 24], [78, 72], [80, 69], [78, 67], [46, 82], [49, 73, 27], [79, 42, 27], [46, 49, 43], [42, 36, 41, 30], [44, 36, 58], [45, 33, 43, 26], [38, 38, 42, 32], [36, 37, 39, 35], [30, 41, 38, 41], [43, 33, 33, 32], [30, 28, 23, 23]]
27 :  49   [[80, 70], [98, 49], [98, 50], [96, 43], [87, 58], [96, 49], [80, 70], [98, 41], [82, 58], [92, 58], [85, 62], [86, 59], [93, 57], [78, 42, 25], [83, 66], [94, 55], [72, 74], [84, 60], [85, 57], [90, 55], [84, 55], [82, 67], [73, 73], [84, 62], [93, 57], [91, 49], [91, 47], [73, 71], [84, 64], [83, 44, 23], [84, 60], [78, 70], [69, 79], [78, 69], [79, 69], [46, 81, 23], [78, 45, 27], [73, 43, 33], [80, 42, 28], [74, 76], [42, 57, 45], [42, 38, 46, 24], [38, 43, 44, 25], [41, 36, 41, 32], [42, 35, 39, 33], [36, 39, 38, 37], [36, 43, 32, 33], [30, 30, 30, 29, 27], [26, 20]]
28 :  49   [[80, 62], [93, 55], [96, 50], [98, 45], [96, 44], [93, 57], [84, 55], [98, 42], [92, 57], [91, 49], [85, 60], [78, 69], [73, 73], [98, 49], [70, 78], [76, 44, 27], [94, 47], [74, 73], [85, 62], [70, 80], [90, 58], [78, 39, 32], [70, 79], [86, 58], [80, 46, 23], [83, 64], [83, 57], [84, 43, 23], [84, 57], [84, 66], [91, 58], [84, 60], [87, 55], [82, 67], [72, 78], [82, 43, 25], [79, 69], [59, 81], [73, 71], [74, 41, 28], [41, 69, 39], [41, 43, 38, 27], [46, 36, 42, 25], [42, 33, 49, 26], [30, 42, 29, 33], [38, 38, 42, 30], [33, 43, 45, 24], [37, 32, 36, 35], [36, 30, 20]]
29 :  49   [[94, 55], [70, 78], [78, 45, 25], [62, 83], [98, 50], [84, 33, 30], [98, 49], [84, 47], [84, 66], [96, 46], [91, 58], [93, 57], [93, 57], [91, 57], [85, 64], [96, 49], [98, 41], [79, 60], [82, 32, 36], [85, 55], [79, 69], [86, 44], [92, 57], [84, 43, 23], [84, 59], [90, 58], [83, 60], [80, 69], [81, 67], [55, 87], [80, 70], [80, 42, 23], [73, 74], [73, 69], [72, 46, 30], [82, 62], [78, 71], [78, 70], [76, 73], [74, 73], [42, 58, 49], [43, 36, 41, 28], [38, 45, 43, 24], [42, 39, 43, 26], [33, 42, 44, 29], [41, 38, 33, 37], [42, 38, 36, 32], [39, 35, 25, 30, 20], [27, 27]]
30 :  49   [[82, 67], [93, 57], [58, 80], [93, 57], [98, 49], [92, 58], [76, 46, 28], [94, 55], [55, 47, 42], [43, 85, 20], [81, 69], [79, 69], [91, 57], [96, 49], [78, 60], [87, 59], [82, 62], [70, 80], [98, 45], [73, 74], [78, 72], [96, 49], [70, 78], [98, 43], [91, 58], [43, 83, 24], [74, 73], [79, 33, 37], [55, 86], [84, 66], [85, 64], [84, 62], [84, 57], [90, 60], [83, 43, 23], [84, 36, 29], [84, 41, 25], [70, 73], [80, 41, 27], [69, 78], [42, 73, 33], [71, 50, 27], [44, 38, 44, 23], [38, 45, 38, 26], [46, 39, 42], [39, 42, 30, 36], [32, 33, 42, 41], [30, 36, 30, 35], [32, 25]]
31 :  49   [[85, 57], [91, 59], [98, 42], [84, 60], [86, 62], [66, 70], [91, 57], [96, 38], [82, 67], [94, 46], [98, 49], [84, 58], [70, 78], [85, 55], [93, 57], [81, 69], [98, 49], [72, 78], [84, 60], [78, 70], [73, 74], [84, 62], [82, 47, 20], [73, 74], [83, 39, 28], [83, 57], [87, 55], [79, 69], [73, 44, 32], [92, 58], [93, 50], [80, 69], [96, 49], [80, 45, 23], [84, 30, 35], [90, 58], [78, 43, 26], [76, 73], [80, 46, 24], [79, 71], [64, 42, 42], [33, 41, 32, 41], [55, 39, 44], [43, 41, 45], [43, 43, 38, 25], [33, 42, 36, 36], [42, 38, 30, 37], [36, 29, 27, 27, 23], [33, 30, 25]]
32 :  49   [[96, 49], [80, 70], [96, 44], [98, 49], [98, 50], [85, 59], [93, 57], [87, 58], [73, 73], [98, 46], [76, 49, 25], [91, 58], [92, 58], [90, 57], [84, 60], [94, 55], [83, 67], [84, 38, 27], [93, 57], [66, 80], [86, 60], [84, 62], [82, 64], [62, 55, 32], [74, 69], [73, 73], [69, 81], [91, 57], [83, 45, 20], [84, 42, 24], [84, 55], [79, 69], [85, 43], [78, 72], [74, 70], [78, 71], [79, 70], [78, 46, 25], [80, 43, 26], [82, 38, 30], [37, 78, 33], [43, 41, 42, 23], [42, 41, 38, 28], [30, 44, 47, 29], [43, 33, 39, 33], [41, 32, 42, 35], [45, 36, 42, 27], [39, 30, 36, 36], [23]]
33 :  49   [[94, 55], [98, 49], [93, 33, 24], [62, 79], [87, 55], [80, 70], [96, 49], [59, 84], [91, 57], [83, 57], [83, 64], [98, 45], [82, 60], [92, 58], [98, 49], [91, 58], [86, 57], [84, 41, 25], [73, 62], [79, 69], [96, 46], [84, 42, 23], [84, 58], [90, 55], [85, 60], [93, 57], [41, 81, 28], [76, 67], [78, 72], [80, 42, 23], [84, 66], [70, 78], [80, 69], [78, 69], [70, 74], [71, 73], [85, 39, 26], [82, 46, 20], [36, 78, 36], [73, 73], [74, 42, 30], [45, 50, 43], [47, 38, 33, 32], [38, 30, 43, 38], [42, 33, 44, 27], [43, 41, 39, 27], [44, 37, 43, 25], [35, 42, 36, 32], [30, 29]]
34 :  49   [[96, 49], [87, 57], [73, 73], [93, 57], [91, 46], [94, 55], [96, 42], [98, 50], [91, 49], [98, 49], [73, 73], [86, 57], [84, 60], [84, 45, 20], [93, 57], [82, 67], [98, 46], [70, 80], [69, 81], [84, 59], [85, 58], [92, 58], [74, 76], [78, 70], [85, 58], [84, 66], [83, 64], [84, 42, 23], [78, 69], [82, 60], [62, 78], [79, 71], [79, 43, 28], [55, 90], [80, 70], [80, 69], [83, 42, 25], [72, 74], [62, 78], [30, 29, 55, 36], [41, 43, 36, 26], [44, 37, 47], [36, 33, 41, 35], [44, 39, 42, 25], [39, 43, 33, 32], [41, 43, 42, 24], [38, 38, 45, 27], [38, 30, 27, 23, 32], [33, 30]]
35 :  49   [[94, 25, 30], [91, 57], [98, 50], [73, 70], [80, 70], [98, 49], [92, 58], [86, 58], [84, 62], [84, 60], [98, 49], [87, 55], [93, 43], [96, 49], [71, 78], [96, 42], [80, 70], [80, 69], [79, 69], [84, 64], [73, 72], [84, 41, 24], [84, 66], [85, 60], [93, 57], [83, 62], [90, 58], [91, 55], [78, 45, 25], [79, 69], [85, 57], [81, 46, 23], [74, 67], [83, 43, 23], [78, 42, 30], [78, 59], [32, 82, 33], [82, 42, 26], [76, 73], [74, 45, 27], [73, 38, 36], [57, 47, 42], [55, 41, 44], [43, 46, 44], [39, 33, 43, 35], [41, 32, 39, 33], [42, 38, 36, 30], [38, 28, 37, 36], [29, 27, 20]]
36 :  49   [[98, 49], [78, 70], [80, 57], [70, 78], [96, 46], [85, 58], [98, 38], [84, 60], [92, 57], [94, 41], [96, 49], [93, 57], [79, 69], [91, 59], [80, 44, 26], [93, 47], [98, 50], [81, 69], [90, 55], [80, 62], [91, 58], [86, 55], [85, 55], [74, 76], [83, 62], [84, 60], [87, 57], [84, 43, 23], [78, 71], [73, 73], [82, 45, 23], [83, 67], [84, 42, 24], [73, 74], [82, 66], [70, 72], [84, 64], [79, 69], [78, 58], [46, 36, 42, 25], [73, 45, 30], [49, 39, 37, 25], [43, 42, 36, 29], [44, 32, 41, 33], [43, 42, 41, 20], [38, 33, 43, 36], [42, 30, 33, 38], [27, 39, 35, 27], [28, 30, 32]]
